ID		        nm		        lat		        lon		    countryCode
819827          Razvilka        55.591667       37.740833   RU
524901          Moscow          55.752220       37.615555   RU
2973393         Tarascon        43.805828       4.660280    FR
2986678         Ploufragan      48.491409       -2.794580   FR
683506          Bucharest       44.4323         26.1063     RO
670609          Pitesti         44.85           24.86667    RO
5128581         New_York        40.7166638      -74.1       USA
5391959         San_Francisco   37.77493        -122.41942  USA
3128760         Barcelona       41.38879        2.15899     SP
2509954         Valencia        39.46975        -0.37739    SP
